Time,Yaw
36.49999928474426,[-131.36191698   -4.91769759   -3.17674761]
36.60006403923035,[-135.87080289   -5.05588812   -3.60271822]
36.70011758804321,[-140.82982631   -5.2590007    -4.36387211]
36.800127267837524,[-145.35706043   -4.8272477    -4.81380043]
36.900052309036255,[-150.15441681   -4.6217765    -5.01136886]
36.99997687339783,[-154.87713516   -3.9118384    -5.14505021]
37.099995851516724,[-160.0645278    -3.60191171   -5.81320458]
37.20013189315796,[-164.37296347   -3.00078349   -5.51477783]
37.30002403259277,[-168.85070142   -2.68746812   -6.27516945]
37.39998984336853,[-173.27047761   -1.94875446   -6.08417748]
37.49998474121094,[-177.84610678   -1.23397418   -6.48312826]
37.600080490112305,[177.72022877  -0.98203004  -6.5258663 ]
37.70018482208252,[174.05208962  -1.2646148   -6.26160484]
37.799999952316284,[ 1.70622188e+02 -7.23503667e-02 -4.93958690e+00]
37.9000506401062,[166.9484355   -0.30134573  -4.34477049]
38.00000858306885,[162.67259272   0.95908814  -4.18580069]
38.100101470947266,[158.14600876   0.58563418  -5.54167864]
38.19997954368591,[153.4722216    1.34781621  -5.71328263]
38.30001163482666,[148.89556554   1.66038159  -5.9610581 ]
38.40010714530945,[144.26982366   2.05085431  -5.84079584]
38.500195026397705,[139.93024896   2.7180327   -5.59643008]
38.6001935005188,[135.49254334   2.51832098  -5.31311453]
38.70001482963562,[130.31155976   3.12107378  -4.85029673]
38.80001473426819,[125.55230643   3.88410943  -4.42689758]
38.900145292282104,[121.39188753   3.86900307  -3.6514638 ]
39.00009083747864,[116.96923762   4.76625594  -3.22081388]
39.09997749328613,[112.99837589   4.17152119  -2.56648184]
39.200047969818115,[108.369927     4.86531269  -2.94722394]
39.30003595352173,[103.74609747   5.88038774  -1.84026181]
39.40007448196411,[99.65393887  5.27090749 -1.57186074]
39.500030279159546,[95.98837628  4.55056072  1.11028137]
39.59996700286865,[91.39406636  5.72719935  0.49163296]
39.69993305206299,[86.63985028  6.83746801  0.31316212]
39.80007767677307,[81.0842048   6.62519399  0.17913212]
39.90020680427551,[75.1818907   6.91684    -0.11893064]
40.00003528594971,[69.64434037  7.00524361  0.34616294]
40.09999489784241,[64.23653765  6.78135845  1.55258088]
40.199997663497925,[59.02466051  5.99465811  1.89547069]
40.3001344203949,[53.75458739  5.90609382  2.87947968]
40.40000796318054,[48.64530239  5.64099116  2.85030156]
40.49995517730713,[43.95763553  5.05049725  3.61028099]
40.59988784790039,[39.70904138  4.56072522  3.75296563]
40.70016312599182,[35.8577598   3.67721388  4.14744058]
40.800132751464844,[31.89451358  3.20402596  3.70476765]
40.90005540847778,[27.80574476  2.6470827   3.43040103]
40.9999680519104,[23.39103488  2.95295922  4.08737146]
41.10006546974182,[18.87587599  2.76352823  4.04380662]
41.20009660720825,[14.71366545  2.32054449  4.33920658]
41.299904346466064,[10.72499061  2.16811736  4.41723048]
41.399911880493164,[6.75829996 1.84603368 4.34033239]
41.49991726875305,[2.62858079 1.69587928 4.72128381]
41.60012936592102,[-1.81122853  1.5092404   4.94202957]
41.70008826255798,[-5.92810415  1.16401553  5.14318851]
41.799954891204834,[-10.05109133   0.80615894   5.32581569]
41.89994740486145,[-14.18525686   0.45587133   5.33173549]
42.00000333786011,[-18.33805307   0.10554058   5.3194143 ]
42.10006260871887,[-22.34627587  -0.42292235   5.41409678]
42.19989037513733,[-26.23150663  -0.61670129   4.74232744]
42.29988169670105,[-30.61836663  -1.52115225   4.35300476]
42.39996075630188,[-35.41279057  -1.69585934   4.78750278]
42.50014662742615,[-40.08433351  -2.44590869   4.85001064]
42.59987258911133,[-44.32269599  -3.06448421   4.57719509]
42.69986081123352,[-48.11646014  -3.11915037   5.03764623]
42.799931049346924,[-51.46276391  -3.00310992   3.30765803]
42.90003967285156,[-55.53489044  -3.35645986   4.33013327]
43.00001907348633,[-60.60144928  -4.21990913   4.7038221 ]
43.09990859031677,[-65.25596172  -4.62673862   4.57725582]
43.19993829727173,[-69.84693065  -5.28753999   4.24669458]
43.29996967315674,[-74.39132684  -6.08337349   3.55472564]
43.39996027946472,[-79.2627556   -6.41103311   3.76172771]
43.49982738494873,[-84.34239362  -6.59241674   3.025086  ]
43.599963903427124,[-89.18830539  -6.94001096   2.52074968]
43.69989323616028,[-94.11182958  -6.68398659   1.67047012]
43.800005197525024,[-98.84438559  -6.81539882   0.82423208]
43.90004110336304,[-103.18709807   -7.03895749    0.31619317]
43.99993920326233,[-107.46347775   -6.27750325   -0.51066962]
44.09986972808838,[-111.773035     -5.7705221    -0.88208493]
44.199936389923096,[-116.15315467   -5.46326711   -1.26989832]
44.2999804019928,[-120.97643537   -4.69618594   -1.53488134]
44.399967193603516,[-126.03761162   -5.12310983   -2.02149155]
44.49994349479675,[-130.99943734   -5.58375427   -2.68821231]
44.59983777999878,[-135.51626123   -5.09329106   -3.23303225]
44.69993877410889,[-140.30292025   -4.8178635    -3.99860056]
44.800041913986206,[-145.70183631   -5.16330708   -4.88704794]
44.89998769760132,[-151.18040983   -4.96967104   -5.93708138]
44.99987721443176,[-156.0694243    -4.55674805   -6.17580802]
45.1000292301178,[-160.89090131   -3.79643734   -6.28300708]
45.2000675201416,[-165.49719667   -2.73271475   -6.37152066]
45.29991436004639,[-169.79756792   -2.47729948   -6.31102838]
45.39991211891174,[-174.20597054   -1.58178194   -6.1156365 ]
45.49986910820007,[-178.63298147   -1.1834317    -6.01501316]
45.60008430480957,[176.78989101  -0.62022632  -6.20707522]
45.70069098472595,[172.99641364  -0.30412917  -5.42204359]
45.79991793632507,[168.88805345   0.3799518   -5.54136417]
45.89989495277405,[164.41562864   0.4603183   -5.70114843]
